"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00090010","ABBEVILLE, GA US","1990-10-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-10","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-11","1.39",,
"USC00090010","ABBEVILLE, GA US","1990-10-12","2.30",,
"USC00090010","ABBEVILLE, GA US","1990-10-13","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-10-14","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-10-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-19","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-10-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-22","1.44",,
"USC00090010","ABBEVILLE, GA US","1990-10-23","0.61",,
"USC00090010","ABBEVILLE, GA US","1990-10-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-31","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-10","1.58",,
"USC00090010","ABBEVILLE, GA US","1990-11-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-23","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-11-24","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-11-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-27","0.05",,
"USC00090010","ABBEVILLE, GA US","1990-11-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-11-29","0.08",,
"USC00090010","ABBEVILLE, GA US","1990-11-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-04","0.27",,
"USC00090010","ABBEVILLE, GA US","1990-12-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-08","0.71",,
